node   1  (   0,    0) (   5,    3) (   9,    4) (   6,    3) (   4,    5) (   3,    5) (   4,    2) (   3,    4) (   4,    3) (   4,    3)
          (   4,    3) (   3,    3) (   4,    5) (   4,    4) (   3,    5) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3)
          (   3,    3) (   4,    5) (   4,    4) (   3,    5) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   3,    3)
          (   4,    5) (   4,    4) (   3,    5) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   3,    3) (   4,    5)
          (   4,    4) (   3,    5) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   3,    3) (   4,    5) (   4,    4)
          (   3,    5) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   3,    3) (   4,    5) (   4,    4) (   3,    5)
          (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   3,    3) (   4,    5) (   4,    4) (   3,    5) (   4,    3)
          (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   3,    3) (   4,    5) (   4,    4) (   3,    5) (   4,    3) (   3,    4)
          (   4,    3) (   4,    3) (   4,    3) (   3,    3) (   4,    5) (   4,    4) (   3,    5) (   4,    3) (   3,    4) (   4,    3)
          (   4,    3) (   4,    3) (   3,    3) (   4,    5) (   4,    4) (   3,    5) (   4,    3) (   3,    4) (   4,    3) (   4,    3)
          (   4,    3) (   3,    3) (   4,    1) (   4,    1) (   3,    2) (   4,    0) (   3,    0) (   4,    0) (   4,    0) (   4,    0)
          (   3,    0) (   4,    1) (   4,    1) (   3,    2) (   4,    0) (   3,    0) (   4,    0) (   4,    0) (   4,    0) (   3,    0)
          (   4,    1) (   4,    1) (   3,    2) (   4,    0) (   3,    0) (   4,    0) (   3,    0) (   3,    2) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    4) (   3,    3) (   3,    3) (   3,    3) (   3,    4) (   3,    3) (   3,    3)
          (   3,    3) (   3,    4) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
          (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3) (   3,    3)
